"Name","Class","URL"
"Action","org.springframework.ws.soap.addressing.server.annotation.Action","http://44000091.r.msn.com/?ld=DvWQhaGYFtxrS_2kisqueUdjVUCUz1wyKHBTAuE-i1ZBWkd5pIcMNv_LdqlNCaswhDrvvZP7EBq4mad77dPUifF3tlWyz1FYG9Hcc9A2GauwWjWhJL4yd0OJCH7Zi917mn38HwaA&u=http%3a%2f%2fwww.amazon.in%2fs%2f%3fie%3dUTF8%26keywords%3daction%2bshoes%26tag%3dyhooinhydr-21%26index%3dshoes%26ref%3dpd_sl_2xn1a7fxis_b"
"Action","org.springframework.ws.soap.addressing.server.annotation.Action","http://1348940.r.msn.com/?ld=Dv_TUNyY45bJAoz5Y3xjp9eDVUCUzt9IU1KUpOZj5aUyf37V_ANF0rBxdiN4Ki87SRFGdfhxDvNGTw2LPd4fc2Qaf_oTrgOHoUz6gJuwWtoD6o3PnjaYaeeVm8QDCvm75D6G4jiQ&u=www.olx.in%2fmotorcycles-scooters-cat-379-ig%2f-carbrand_honda%3finvite%3dysm-in_Honda-Activa_Broad%26utm_source%3dYSM%26utm_medium%3dCPC%26utm_content%3dHonda-Activa_Broad%26utm_campaign%3dYSM_Search_OLX_Bikes"
"Address","org.springframework.ws.soap.addressing.server.annotation.Address","http://778802.r.msn.com/?ld=DvLXRJ9R3x-_iXq4k20S-M4jVUCUxWXMWEgnkw5rPZqDGdGpKWcq_S4ypRGrGJ0y5FlmriE3csBqf52YbNoHL1WDsuPPWjtz1dcShqWcY7VpOoyabHeqDrhyUly3vqj-6Anb9EaQ&u=http%3a%2f%2f1167.xg4ken.com%2fmedia%2fredir.php%3fprof%3d8%26camp%3d1120%26affcode%3dcr11181354%26cid%3d5901965401%7c2088956%7cconfirm+your+email+address%26mType%3db%26queryStr%3dorg.springframework.ws.soap.addressing.server.annotation.address%26url%5b%5d%3dhttp%253A%252F%252Fwww.facebook.com%252Fcampaign%252Flanding.php%253Fcampaign_id%253D680956221993467%2526creative%253D5901965401%2526keyword%253Dconfirm+your+email+address%2526extra_1%253D_kenshoo_clickid_%2526partner_id%253Dmsnsem%2526extra_2%253Dmatchtype%25253Db"
"Address","org.springframework.ws.soap.addressing.server.annotation.Address","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/soap/addressing/server/AnnotationActionEndpointMapping.html"
"SoapAction","org.springframework.ws.soap.server.endpoint.annotation.SoapAction","http://249608.r.msn.com/?ld=DvL0PrcCVFgcrqhfdPMpU3uDVUCUzo-ifWFbuuE7XIHvfMgm_WsqpMJUnpK19bSvhKMl3S26LD0LqEmzI79kIycmjWXqp6WAyQsyP-sRtNqdsdNgL8_sw6lX58k3vJoJz-nJNwUg&u=http%3a%2f%2fwww.altova.com%2fref%2f%3fs%3dmsn1%26n%3ds%26f%3dt%26q%3dsoapxml"
"SoapAction","org.springframework.ws.soap.server.endpoint.annotation.SoapAction","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/soap/server/endpoint/annotation/SoapAction.html"
"SoapFault","org.springframework.ws.soap.server.endpoint.annotation.SoapFault","http://docs.spring.io/spring-ws/site/reference/html/server.html"
"SoapFault","org.springframework.ws.soap.server.endpoint.annotation.SoapFault","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/soap/server/endpoint/annotation/package-tree.html"
"SoapHeader","org.springframework.ws.soap.server.endpoint.annotation.SoapHeader","http://249608.r.msn.com/?ld=DvDoQJZ2kkxWKABj46XstgmzVUCUzDO2bc0C9tMrBs1zyXxVxZtShsI87MdafRpA5SnIuDTVjNVzcE3Hw3ecJFbcYvU9Ji84_P2uC_CUxFO5r699QLmbWjJz-ufgUPuYzCFO1EkA&u=http%3a%2f%2fwww.altova.com%2fref%2f%3fs%3dmsn1%26n%3ds%26f%3dt%26q%3dsoapxml"
"SoapHeader","org.springframework.ws.soap.server.endpoint.annotation.SoapHeader","http://www.java2s.com/Code/Jar/s/Downloadspringwscore202RELEASEjar.htm"
